,CAT max,CAT mean,CAT min,CAT per80,CAT per90,CAT var,CMS max,CMS mean,CMS min,CMS per80,CMS per90,CMS var,Crises max,Crises mean,Crises min,Crises per80,Crises per90,Crises var,Domicile max,Domicile mean,Domicile min,Domicile per80,Domicile per90,Domicile var,Evenements max,Evenements mean,Evenements min,Evenements per80,Evenements per90,Evenements var,Gestion - Accueil Telephonique max,Gestion - Accueil Telephonique mean,Gestion - Accueil Telephonique min,Gestion - Accueil Telephonique per80,Gestion - Accueil Telephonique per90,Gestion - Accueil Telephonique var,Gestion Amex max,Gestion Amex mean,Gestion Amex min,Gestion Amex per80,Gestion Amex per90,Gestion Amex var,Gestion Assurances max,Gestion Assurances mean,Gestion Assurances min,Gestion Assurances per80,Gestion Assurances per90,Gestion Assurances var,Gestion Clients max,Gestion Clients mean,Gestion Clients min,Gestion Clients per80,Gestion Clients per90,Gestion Clients var,Gestion DZ max,Gestion DZ mean,Gestion DZ min,Gestion DZ per80,Gestion DZ per90,Gestion DZ var,Gestion Relation Clienteles max,Gestion Relation Clienteles mean,Gestion Relation Clienteles min,Gestion Relation Clienteles per80,Gestion Relation Clienteles per90,Gestion Relation Clienteles var,Gestion Renault max,Gestion Renault mean,Gestion Renault min,Gestion Renault per80,Gestion Renault per90,Gestion Renault var,Gestion max,Gestion mean,Gestion min,Gestion per80,Gestion per90,Gestion var,Japon max,Japon mean,Japon min,Japon per80,Japon per90,Japon var,Manager max,Manager mean,Manager min,Manager per80,Manager per90,Manager var,Mécanicien max,Mécanicien mean,Mécanicien min,Mécanicien per80,Mécanicien per90,Mécanicien var,Médical max,Médical mean,Médical min,Médical per80,Médical per90,Médical var,Nuit max,Nuit mean,Nuit min,Nuit per80,Nuit per90,Nuit var,Prestataires max,Prestataires mean,Prestataires min,Prestataires per80,Prestataires per90,Prestataires var,RENAULT max,RENAULT mean,RENAULT min,RENAULT per80,RENAULT per90,RENAULT var,RTC max,RTC mean,RTC min,RTC per80,RTC per90,RTC var,Regulation Medicale max,Regulation Medicale mean,Regulation Medicale min,Regulation Medicale per80,Regulation Medicale per90,Regulation Medicale var,SAP max,SAP mean,SAP min,SAP per80,SAP per90,SAP var,Services max,Services mean,Services min,Services per80,Services per90,Services var,Tech. Axa max,Tech. Axa mean,Tech. Axa min,Tech. Axa per80,Tech. Axa per90,Tech. Axa var,Tech. Inter max,Tech. Inter mean,Tech. Inter min,Tech. Inter per80,Tech. Inter per90,Tech. Inter var,Tech. Total max,Tech. Total mean,Tech. Total min,Tech. Total per80,Tech. Total per90,Tech. Total var,Téléphonie max,Téléphonie mean,Téléphonie min,Téléphonie per80,Téléphonie per90,Téléphonie var,day max,day mean,day min,day per80,day per90,day var
52,127.0,24.0916666667,0.0,65.60000000000001,82.0,1272.43690476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,0.0,0.0245798319328,42.0,9.53333333333,0.0,18.400000000000006,29.10000000000001,134.553501401,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,1.2000000000000028,8.100000000000009,23.7647058824,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.366666666667,0.0,0.0,0.20000000000001705,1.4106442577,2.0,0.1,0.0,0.0,0.0,0.10756302521,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0583333333333,0.0,0.0,0.0,0.0721988795518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0333333333333,0.0,0.0,0.0,0.0324929971989,6.0,0.9,0.0,2.0,2.1000000000000085,1.23361344538,1.0,0.0166666666667,0.0,0.0,0.0,0.0165266106443,3.0,0.266666666667,0.0,0.20000000000000284,1.0,0.348459383754,27.0,8.475,0.0,15.0,17.0,41.8817226891,19.0,0.966666666667,0.0,0.0,0.10000000000000853,11.7467787115,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.44166666667,0.0,4.0,5.0,10.5175770308,16.0,1.43333333333,0.0,3.0,6.0,7.94509803922,4.0,0.558333333333,0.0,1.0,2.0,0.803291316527,6.0,0.566666666667,0.0,1.0,2.1000000000000085,1.59215686275,58.0,12.975,0.0,26.200000000000003,30.10000000000001,140.596008403,260.0,93.575,0.0,165.0,193.50000000000003,4575.3052521,25.0,8.30833333333,0.0,13.200000000000003,17.0,39.4923669468,60.0,21.0333333333,0.0,40.0,47.0,281.914845938,237.0,48.1666666667,1.0,82.4,111.0,2235.18207283,,,,,,
1,130.0,21.6636904762,0.0,55.0,82.0,1190.95820007,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,0.0,0.0,0.0,0.0,0.0,0.0,52.0,7.5625,0.0,18.0,26.0,126.95130597,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.48214285714,0.0,3.0,11.5,29.7310234542,1.0,0.0119047619048,0.0,0.0,0.0,0.0117981520967,5.0,0.407738095238,0.0,0.0,2.0,1.04220859986,4.0,0.139880952381,0.0,0.0,0.0,0.269927149964,1.0,0.0267857142857,0.0,0.0,0.0,0.0261460554371,2.0,0.116071428571,0.0,0.0,0.0,0.150666311301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.60119047619,0.0,1.0,2.0,0.938983653163,1.0,0.0178571428571,0.0,0.0,0.0,0.0175906183369,6.0,0.407738095238,0.0,1.0,2.0,0.916835465529,36.0,7.41964285714,0.0,16.0,22.0,79.730836887,31.0,3.18452380952,0.0,7.0,11.0,27.5061478323,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.96428571429,0.0,3.0,5.0,10.4226012793,16.0,1.6130952381,0.0,3.0,7.0,10.846872779,4.0,0.508928571429,0.0,1.0,2.0,0.710367803838,12.0,0.967261904762,0.0,2.0,4.0,4.13325337598,56.0,9.29166666667,0.0,20.0,28.5,142.553482587,261.0,56.0744047619,0.0,115.0,146.5,3770.57653696,29.0,5.21130952381,0.0,11.0,14.0,35.9940209666,64.0,13.7589285714,0.0,31.0,40.5,274.010367804,128.0,28.8363095238,0.0,59.0,84.5,1094.91342395,1.0,0.5,0.0,1.0,1.0,0.250746268657
2,101.0,19.0148809524,0.0,49.0,72.0,924.205748045,1.0,0.00892857142857,0.0,0.0,0.0,0.00887526652452,0.0,0.0,0.0,0.0,0.0,0.0,54.0,7.91666666667,0.0,17.0,29.0,146.184079602,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.05357142857,0.0,4.0,15.0,43.4657782516,1.0,0.00892857142857,0.0,0.0,0.0,0.00887526652452,7.0,0.46130952381,0.0,0.0,2.0,1.28805081734,7.0,0.154761904762,0.0,0.0,0.0,0.393887704335,3.0,0.0386904761905,0.0,0.0,0.0,0.0611851457001,2.0,0.139880952381,0.0,0.0,1.0,0.174404761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.803571428571,0.0,2.0,2.0,1.20906183369,2.0,0.0297619047619,0.0,0.0,0.0,0.0349324804549,4.0,0.282738095238,0.0,0.0,1.0,0.495939943141,40.0,7.25892857143,0.0,15.0,21.5,73.1357409382,28.0,3.04761904762,0.0,6.0,11.0,26.6604122246,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,19.0,2.17857142857,0.0,4.0,5.0,9.30533049041,19.0,1.97023809524,0.0,4.0,9.0,15.3901563611,5.0,0.467261904762,0.0,1.0,1.0,0.715342928216,12.0,0.997023809524,0.0,2.0,4.0,4.40297619048,45.0,8.39880952381,0.0,19.0,25.0,108.449431414,208.0,47.5089285714,0.0,104.0,123.5,2394.59693497,24.0,4.12202380952,0.0,8.0,11.5,21.8686478323,53.0,11.4523809524,0.0,24.0,32.0,177.209665956,152.0,32.3363095238,0.0,73.0,88.5,1309.68655828,1.0,0.5,0.0,1.0,1.0,0.250746268657
3,118.0,20.6488095238,0.0,54.0,80.0,1094.69420753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.58928571429,0.0,17.0,29.0,130.218869936,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.54166666667,0.0,4.0,13.0,29.5684079602,1.0,0.014880952381,0.0,0.0,0.0,0.0147032693674,7.0,0.327380952381,0.0,0.0,1.0,0.805934612651,2.0,0.0892857142857,0.0,0.0,0.0,0.111407249467,3.0,0.0386904761905,0.0,0.0,0.0,0.0671552949538,3.0,0.10119047619,0.0,0.0,0.0,0.15092395167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.72619047619,0.0,1.0,2.0,1.02331201137,2.0,0.0416666666667,0.0,0.0,0.0,0.0519900497512,8.0,0.428571428571,0.0,1.0,2.0,1.13518123667,38.0,7.64285714286,0.0,17.0,23.0,90.0034115139,32.0,3.50595238095,0.0,7.0,12.0,35.6596659559,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,44.0,2.34821428571,0.0,4.0,6.0,15.6962953092,17.0,1.88095238095,0.0,4.0,9.0,13.7410092395,4.0,0.473214285714,0.0,1.0,2.0,0.596295309168,12.0,1.10416666667,0.0,2.0,4.0,5.64583333333,50.0,8.92857142857,0.0,20.0,28.0,126.048614072,262.0,53.3511904762,0.0,116.0,134.5,3087.53002843,21.0,4.01488095238,0.0,8.0,11.0,22.3967928216,57.0,12.8928571429,0.0,28.0,36.0,215.289978678,154.0,37.630952381,0.0,82.0,106.0,1697.51712864,1.0,0.5,0.0,1.0,1.0,0.250746268657
4,104.0,19.9107142857,0.0,55.0,76.0,993.842750533,2.0,0.00892857142857,0.0,0.0,0.0,0.0148454157783,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7.6875,0.0,18.0,27.5,137.737873134,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.97619047619,0.0,3.0,14.0,44.4173418621,1.0,0.0119047619048,0.0,0.0,0.0,0.0117981520967,7.0,0.419642857143,0.0,0.0,2.0,1.13979211087,3.0,0.0892857142857,0.0,0.0,0.0,0.123347547974,2.0,0.0357142857143,0.0,0.0,0.0,0.0405117270789,2.0,0.0833333333333,0.0,0.0,0.0,0.0945273631841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.761904761905,0.0,1.0,2.0,1.26254442075,2.0,0.0267857142857,0.0,0.0,0.0,0.0380863539446,6.0,0.425595238095,0.0,1.0,2.0,0.883999644634,37.0,7.9494047619,0.0,18.0,24.0,91.2601190476,29.0,3.3630952381,0.0,7.0,12.0,32.1125444208,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,3.0,5.0,11.2656716418,19.0,1.8244047619,0.0,4.0,7.0,14.3302683014,6.0,0.47619047619,0.0,1.0,2.0,0.715849324805,12.0,0.964285714286,0.0,1.0,4.0,5.25842217484,63.0,9.18452380952,0.0,20.0,27.0,131.649431414,199.0,48.2261904762,0.0,102.0,119.0,2342.742715,17.0,3.55357142857,0.0,7.0,9.0,15.4359275053,51.0,11.8095238095,0.0,26.0,33.0,171.336744847,171.0,41.5625,0.0,93.0,123.0,2245.88264925,1.0,0.5,0.0,1.0,1.0,0.250746268657
5,124.0,22.0833333333,0.0,58.0,83.0,1202.35721393,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.92857142857,0.0,17.0,29.0,142.448614072,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.46130952381,0.0,2.0,12.0,31.18655828,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.363095238095,0.0,0.0,2.0,0.787171286425,4.0,0.154761904762,0.0,0.0,1.0,0.244633972992,2.0,0.0327380952381,0.0,0.0,0.0,0.0377309879176,3.0,0.0922619047619,0.0,0.0,0.0,0.137730987918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.485119047619,0.0,1.0,2.0,0.757986851457,3.0,0.014880952381,0.0,0.0,0.0,0.0326137171286,4.0,0.291666666667,0.0,0.0,1.0,0.589303482587,35.0,6.95535714286,0.0,14.0,21.0,73.5771055437,57.0,4.64583333333,0.0,10.0,16.5,68.6712064677,1.0,0.00595238095238,0.0,0.0,0.0,0.00593461265103,47.0,4.09821428571,0.0,7.0,10.0,36.0948027719,16.0,1.87797619048,0.0,4.0,8.0,13.4447672353,7.0,0.425595238095,0.0,1.0,1.0,0.794447405828,14.0,1.00595238095,0.0,1.0,4.0,5.53429282161,61.0,11.2589285714,0.0,24.0,31.0,160.299920043,383.0,85.3005952381,0.0,159.0,202.5,8040.27056681,26.0,5.56547619048,0.0,11.0,14.0,36.3598791756,100.0,19.2053571429,0.0,37.0,46.5,456.86815032,260.0,60.7976190476,0.0,126.0,157.0,4143.98280028,1.0,0.5,0.0,1.0,1.0,0.250746268657
6,227.0,29.7095808383,0.0,73.40000000000003,113.39999999999998,2302.93342145,1.0,0.00299401197605,0.0,0.0,0.0,0.00299401197605,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.23652694611,0.0,17.0,30.69999999999999,150.961905019,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.44910179641,0.0,3.0,12.0,29.0169211127,1.0,0.0119760479042,0.0,0.0,0.0,0.0118681555807,7.0,0.395209580838,0.0,0.0,1.0,1.1106076136,3.0,0.107784431138,0.0,0.0,0.0,0.168527809246,1.0,0.0179640718563,0.0,0.0,0.0,0.0176943410476,5.0,0.170658682635,0.0,0.0,1.0,0.316133498768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1497005988,0.0,2.0,3.0,1.60515006024,1.0,0.0239520958084,0.0,0.0,0.0,0.0234485982989,4.0,0.278443113772,0.0,0.0,1.0,0.435750121379,37.0,7.50598802395,0.0,16.0,23.69999999999999,83.602066138,127.0,5.82934131737,0.0,10.0,17.0,157.343160526,1.0,0.0149700598802,0.0,0.0,0.0,0.0147902393411,106.0,5.0119760479,0.0,8.0,11.699999999999989,88.8527089964,18.0,2.0,0.0,4.0,8.699999999999989,16.9429429429,5.0,0.48502994012,0.0,1.0,2.0,0.803078527629,13.0,0.913173652695,0.0,1.0,4.0,4.54799410189,61.0,13.4700598802,0.0,28.0,37.0,218.255857654,390.0,79.8952095808,0.0,168.0,205.49999999999994,7715.45144845,31.0,6.17964071856,0.0,12.0,16.0,47.8895542249,75.0,18.3083832335,0.0,40.0,50.0,422.652361943,287.0,52.1137724551,0.0,107.0,135.0,3491.08611606,1.0,0.497005988024,0.0,1.0,1.0,0.250741759724
7,152.0,24.4077380952,0.0,62.0,90.5,1527.08399964,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7.67857142857,0.0,18.0,28.5,132.582942431,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.96428571429,0.0,3.0,15.0,42.3031982942,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.410714285714,0.0,0.0,2.0,0.994989339019,4.0,0.145833333333,0.0,0.0,0.0,0.268221393035,2.0,0.0119047619048,0.0,0.0,0.0,0.0177683013504,3.0,0.14880952381,0.0,0.0,1.0,0.1986851457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.747023809524,0.0,1.0,2.0,1.22237917555,2.0,0.0178571428571,0.0,0.0,0.0,0.0235607675906,7.0,0.410714285714,0.0,1.0,2.0,0.953198294243,39.0,8.23214285714,0.0,18.0,24.0,94.0713219616,46.0,4.05357142857,0.0,9.0,13.0,48.5881663113,1.0,0.00595238095238,0.0,0.0,0.0,0.00593461265103,57.0,3.10714285714,0.0,5.0,8.0,28.8720682303,19.0,2.05357142857,0.0,4.0,9.0,15.7941364606,5.0,0.47619047619,0.0,1.0,2.0,0.709879175551,10.0,0.985119047619,0.0,1.0,5.0,4.68335998579,70.0,13.7321428571,0.0,32.0,38.0,270.542963753,280.0,59.6875,0.0,124.0,150.5,4063.86921642,27.0,5.45535714286,0.0,11.0,14.5,36.4756130064,73.0,14.6875,0.0,31.0,40.5,298.848320896,217.0,43.5446428571,0.0,98.0,126.5,2532.27859808,1.0,0.5,0.0,1.0,1.0,0.250746268657
8,130.0,21.3958333333,0.0,57.0,83.5,1202.07866915,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.8869047619,0.0,17.0,28.5,143.217022033,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.03571428571,0.0,3.0,14.5,42.9300639659,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.443452380952,0.0,0.0,2.0,1.16097192608,6.0,0.181547619048,0.0,0.0,1.0,0.334106254442,1.0,0.014880952381,0.0,0.0,0.0,0.0147032693674,3.0,0.119047619048,0.0,0.0,0.0,0.170859985785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.821428571429,0.0,2.0,3.0,1.62771855011,1.0,0.00892857142857,0.0,0.0,0.0,0.00887526652452,6.0,0.428571428571,0.0,1.0,2.0,1.00980810235,40.0,8.72619047619,0.0,19.0,25.0,104.963610519,35.0,3.36011904762,0.0,8.0,11.0,29.3773898365,2.0,0.0119047619048,0.0,0.0,0.0,0.0237384506041,33.0,2.33333333333,0.0,4.0,6.0,13.960199005,19.0,2.10416666667,0.0,5.0,9.0,16.5055348259,4.0,0.529761904762,0.0,1.0,2.0,0.757320540156,11.0,0.991071428571,0.0,1.0,5.0,5.34021855011,68.0,11.1041666667,0.0,24.0,32.5,212.696579602,265.0,53.1636904762,0.0,110.0,134.0,3184.74625977,21.0,4.77083333333,0.0,9.0,12.0,25.9264303483,60.0,12.4017857143,0.0,27.0,37.0,213.297787846,174.0,34.5029761905,0.0,74.0,104.5,1680.62685679,1.0,0.5,0.0,1.0,1.0,0.250746268657
9,133.0,20.6666666667,0.0,55.0,73.5,1085.07064677,1.0,0.00297619047619,0.0,0.0,0.0,0.00297619047619,0.0,0.0,0.0,0.0,0.0,0.0,52.0,7.41071428571,0.0,16.0,26.0,123.251705757,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0505952381,0.0,3.0,15.0,47.4272832267,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.428571428571,0.0,1.0,2.0,1.02174840085,3.0,0.110119047619,0.0,0.0,0.0,0.157986851457,2.0,0.0238095238095,0.0,0.0,0.0,0.0292821606254,5.0,0.136904761905,0.0,0.0,0.0,0.285678749112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.01488095238,0.0,2.0,3.0,1.96694207534,1.0,0.0178571428571,0.0,0.0,0.0,0.0175906183369,5.0,0.333333333333,0.0,0.0,1.0,0.68855721393,47.0,9.58035714286,0.0,22.0,28.0,131.300986141,29.0,3.14880952381,0.0,7.0,10.0,25.9539090263,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0744047619,0.0,4.0,5.0,11.5735518834,16.0,1.77678571429,0.0,4.0,7.0,13.0455490405,5.0,0.550595238095,0.0,1.0,2.0,0.767581734186,16.0,1.06547619048,0.0,1.0,5.0,6.55689410092,46.0,9.49702380952,0.0,21.0,28.0,140.889543355,241.0,51.5595238095,0.0,107.0,124.5,2712.00838664,23.0,4.64583333333,0.0,9.0,13.0,27.7219527363,53.0,12.2113095238,0.0,27.0,33.0,194.555214996,154.0,36.3601190476,0.0,84.0,110.5,1858.11171819,1.0,0.5,0.0,1.0,1.0,0.250746268657
