,CAT max,CAT mean,CAT min,CAT per80,CAT per90,CAT var,CMS max,CMS mean,CMS min,CMS per80,CMS per90,CMS var,Crises max,Crises mean,Crises min,Crises per80,Crises per90,Crises var,Domicile max,Domicile mean,Domicile min,Domicile per80,Domicile per90,Domicile var,Evenements max,Evenements mean,Evenements min,Evenements per80,Evenements per90,Evenements var,Gestion - Accueil Telephonique max,Gestion - Accueil Telephonique mean,Gestion - Accueil Telephonique min,Gestion - Accueil Telephonique per80,Gestion - Accueil Telephonique per90,Gestion - Accueil Telephonique var,Gestion Amex max,Gestion Amex mean,Gestion Amex min,Gestion Amex per80,Gestion Amex per90,Gestion Amex var,Gestion Assurances max,Gestion Assurances mean,Gestion Assurances min,Gestion Assurances per80,Gestion Assurances per90,Gestion Assurances var,Gestion Clients max,Gestion Clients mean,Gestion Clients min,Gestion Clients per80,Gestion Clients per90,Gestion Clients var,Gestion DZ max,Gestion DZ mean,Gestion DZ min,Gestion DZ per80,Gestion DZ per90,Gestion DZ var,Gestion Relation Clienteles max,Gestion Relation Clienteles mean,Gestion Relation Clienteles min,Gestion Relation Clienteles per80,Gestion Relation Clienteles per90,Gestion Relation Clienteles var,Gestion Renault max,Gestion Renault mean,Gestion Renault min,Gestion Renault per80,Gestion Renault per90,Gestion Renault var,Gestion max,Gestion mean,Gestion min,Gestion per80,Gestion per90,Gestion var,Japon max,Japon mean,Japon min,Japon per80,Japon per90,Japon var,Manager max,Manager mean,Manager min,Manager per80,Manager per90,Manager var,Mécanicien max,Mécanicien mean,Mécanicien min,Mécanicien per80,Mécanicien per90,Mécanicien var,Médical max,Médical mean,Médical min,Médical per80,Médical per90,Médical var,Nuit max,Nuit mean,Nuit min,Nuit per80,Nuit per90,Nuit var,Prestataires max,Prestataires mean,Prestataires min,Prestataires per80,Prestataires per90,Prestataires var,RENAULT max,RENAULT mean,RENAULT min,RENAULT per80,RENAULT per90,RENAULT var,RTC max,RTC mean,RTC min,RTC per80,RTC per90,RTC var,Regulation Medicale max,Regulation Medicale mean,Regulation Medicale min,Regulation Medicale per80,Regulation Medicale per90,Regulation Medicale var,SAP max,SAP mean,SAP min,SAP per80,SAP per90,SAP var,Services max,Services mean,Services min,Services per80,Services per90,Services var,Tech. Axa max,Tech. Axa mean,Tech. Axa min,Tech. Axa per80,Tech. Axa per90,Tech. Axa var,Tech. Inter max,Tech. Inter mean,Tech. Inter min,Tech. Inter per80,Tech. Inter per90,Tech. Inter var,Tech. Total max,Tech. Total mean,Tech. Total min,Tech. Total per80,Tech. Total per90,Tech. Total var,Téléphonie max,Téléphonie mean,Téléphonie min,Téléphonie per80,Téléphonie per90,Téléphonie var,day max,day mean,day min,day per80,day per90,day var
52,2.0,0.241666666667,0.0,1.0,1.0,0.218417366947,1.0,0.8,0.0,1.0,1.0,0.161344537815,2.0,1.1,0.0,2.0,2.0,0.494117647059,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.883333333333,0.0,1.4000000000000057,3.0,1.31400560224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.283333333333,0.0,1.0,1.0,0.204761904762,1.0,0.2,0.0,0.20000000000000284,1.0,0.161344537815,1.0,0.2,0.0,0.20000000000000284,1.0,0.161344537815,1.0,0.283333333333,0.0,1.0,1.0,0.204761904762,1.0,0.483333333333,0.0,1.0,1.0,0.251820728291,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.916666666667,0.0,2.0,2.0,1.21988795518,2.0,0.4,0.0,0.4000000000000057,2.0,0.645378151261,9.0,5.10833333333,2.0,9.0,9.0,10.5343837535,9.0,6.75,1.0,9.0,9.0,12.7941176471,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.475,3.0,12.0,12.0,16.806092437,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.98333333333,0.0,2.0,2.0,0.0333333333333,1.0,1.0,1.0,1.0,1.0,0.0,11.0,5.96666666667,3.0,10.0,10.0,11.2929971989,11.0,4.86666666667,0.0,11.0,11.0,22.7215686275,12.0,5.38333333333,1.0,11.0,11.0,20.9106442577,6.0,2.24166666667,0.0,5.0,6.0,6.9074929972,113.0,93.1416666667,77.0,105.0,109.0,97.4167366947,,,,,,
1,3.0,1.71726190476,1.0,3.0,3.0,0.907880241649,1.0,0.330357142857,0.0,1.0,1.0,0.221881663113,2.0,0.696428571429,0.0,2.0,2.0,0.797121535181,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.27083333333,1.0,4.0,4.0,2.03687810945,1.0,0.395833333333,0.0,1.0,1.0,0.23986318408,1.0,0.854166666667,0.0,1.0,1.0,0.124937810945,1.0,0.717261904762,0.0,1.0,1.0,0.203402629709,1.0,0.717261904762,0.0,1.0,1.0,0.203402629709,1.0,0.342261904762,0.0,1.0,1.0,0.22579068941,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.22023809524,0.0,3.0,3.0,1.44985785359,2.0,0.779761904762,0.0,2.0,2.0,0.954335465529,9.0,6.89285714286,2.0,9.0,9.0,9.98848614072,9.0,4.58928571429,1.0,9.0,9.0,15.2099147122,1.0,0.270833333333,0.0,1.0,1.0,0.198072139303,12.0,8.32738095238,2.0,12.0,12.0,13.1701137171,2.0,1.57142857143,0.0,2.0,2.0,0.675479744136,2.0,1.91071428571,0.0,2.0,2.0,0.165138592751,1.0,1.0,1.0,1.0,1.0,0.0,11.0,8.25892857143,2.0,11.0,11.0,12.1566364606,14.0,9.78571428571,2.0,13.0,13.0,13.0464818763,10.0,7.15773809524,1.0,9.0,10.0,12.0675817342,5.0,4.33630952381,0.0,5.0,5.0,2.58805081734,133.0,108.416666667,73.0,124.0,128.0,235.915422886,1.0,0.5,0.0,1.0,1.0,0.250746268657
2,3.0,1.72023809524,1.0,3.0,3.0,0.9065742715,1.0,0.377976190476,0.0,1.0,1.0,0.235812011372,2.0,0.559523809524,0.0,1.0,2.0,0.581520966596,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.65178571429,1.0,4.0,4.0,2.233608742,1.0,0.547619047619,0.0,1.0,1.0,0.248471926084,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.386904761905,0.0,1.0,1.0,0.237917555082,1.0,0.386904761905,0.0,1.0,1.0,0.237917555082,1.0,0.389880952381,0.0,1.0,1.0,0.238583866382,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.02678571429,0.0,3.0,3.0,1.89480277186,2.0,1.00595238095,0.0,2.0,2.0,1.00294953802,9.0,7.85119047619,2.0,9.0,9.0,5.84644633973,9.0,4.72023809524,1.0,9.0,9.0,15.6050817342,1.0,0.342261904762,0.0,1.0,1.0,0.22579068941,12.0,7.55952380952,2.0,12.0,12.0,13.697938877,2.0,0.723214285714,0.0,2.0,2.0,0.92316098081,2.0,1.87202380952,0.0,2.0,2.0,0.231334399431,1.0,1.0,1.0,1.0,1.0,0.0,11.0,7.74702380952,2.0,11.0,11.0,13.2761105188,14.0,8.98214285714,1.0,13.0,13.0,21.1698294243,10.0,7.38095238095,1.0,10.0,10.0,11.0544420753,5.0,3.92261904762,0.0,5.0,5.0,3.30145700071,132.0,100.589285714,70.0,127.0,129.0,411.22782516,1.0,0.5,0.0,1.0,1.0,0.250746268657
3,3.0,1.71428571429,1.0,3.0,3.0,0.915138592751,1.0,0.327380952381,0.0,1.0,1.0,0.220859985785,2.0,0.842261904762,0.0,2.0,2.0,0.772059346127,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.7380952381,1.0,4.0,4.0,1.20881307747,1.0,0.303571428571,0.0,1.0,1.0,0.212046908316,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8125,0.0,1.0,1.0,0.152798507463,1.0,0.8125,0.0,1.0,1.0,0.152798507463,1.0,0.52380952381,0.0,1.0,1.0,0.250177683014,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.48511904762,0.0,3.0,3.0,0.984852523099,2.0,1.44047619048,0.0,2.0,2.0,0.808386638237,9.0,7.30952380952,2.0,9.0,9.0,7.52778962331,9.0,4.48511904762,1.0,9.0,9.0,15.5042555082,1.0,0.752976190476,0.0,1.0,1.0,0.186558280028,12.0,8.1369047619,2.0,12.0,12.0,13.2050817342,2.0,1.72619047619,0.0,2.0,2.0,0.474058280028,2.0,1.90773809524,0.0,2.0,2.0,0.17355188344,1.0,1.0,1.0,1.0,1.0,0.0,11.0,7.97023809524,2.0,11.0,11.0,13.342395167,14.0,9.59226190476,1.0,13.0,13.0,18.3675817342,10.0,7.7619047619,1.0,10.0,10.0,10.2177683014,5.0,3.875,0.0,5.0,5.0,3.62611940299,156.0,106.922619048,68.0,129.0,131.0,431.62384506,1.0,0.5,0.0,1.0,1.0,0.250746268657
4,3.0,1.72023809524,1.0,3.0,3.0,0.918514570007,1.0,0.3125,0.0,1.0,1.0,0.215485074627,2.0,0.928571428571,0.0,2.0,2.0,0.651599147122,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.21130952381,1.0,4.0,4.0,1.9283493248,1.0,0.392857142857,0.0,1.0,1.0,0.239232409382,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.604166666667,0.0,1.0,1.0,0.23986318408,1.0,0.604166666667,0.0,1.0,1.0,0.23986318408,1.0,0.39880952381,0.0,1.0,1.0,0.240476190476,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,7.46726190476,2.0,9.0,9.0,6.35713397299,9.0,4.78571428571,1.0,9.0,9.0,15.3987206823,1.0,0.261904761905,0.0,1.0,1.0,0.193887704335,12.0,8.7619047619,2.0,12.0,12.0,11.2267235252,2.0,0.83630952381,0.0,2.0,2.0,0.973125444208,2.0,1.84226190476,0.0,2.0,2.0,0.282507107321,1.0,1.0,1.0,1.0,1.0,0.0,11.0,8.22619047619,2.0,11.0,11.0,12.2770433547,14.0,9.04464285714,1.0,13.0,14.0,25.0397921109,10.0,6.99404761905,1.0,9.0,10.0,12.9193674485,5.0,4.11904761905,0.0,5.0,5.0,2.94100923952,221.0,134.904761905,66.0,213.0,217.0,2718.68941009,1.0,0.5,0.0,1.0,1.0,0.250746268657
5,3.0,1.72023809524,1.0,3.0,3.0,0.918514570007,1.0,0.333333333333,0.0,1.0,1.0,0.222885572139,2.0,1.08630952381,0.0,2.0,2.0,0.622379175551,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.87202380952,1.0,4.0,4.0,1.3059612651,1.0,0.452380952381,0.0,1.0,1.0,0.248471926084,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.339285714286,0.0,1.0,1.0,0.224840085288,1.0,0.339285714286,0.0,1.0,1.0,0.224840085288,1.0,0.526785714286,0.0,1.0,1.0,0.250026652452,1.0,0.6875,0.0,1.0,1.0,0.215485074627,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.20535714286,0.0,3.0,3.0,1.73979211087,2.0,1.10714285714,0.0,2.0,2.0,0.991471215352,9.0,7.45535714286,3.0,9.0,9.0,6.35621002132,9.0,4.74107142857,1.0,9.0,9.0,15.3148454158,1.0,0.255952380952,0.0,1.0,1.0,0.191009239517,12.0,8.29761904762,2.0,12.0,12.0,15.1230987918,2.0,1.55357142857,0.0,2.0,2.0,0.695628997868,2.0,1.9375,0.0,2.0,2.0,0.118470149254,1.0,1.0,1.0,1.0,1.0,0.0,11.0,7.91369047619,2.0,11.0,11.0,14.2223791756,14.0,9.9880952381,1.0,13.0,13.0,15.1401563611,10.0,7.62202380952,1.0,10.0,10.0,9.71043887704,5.0,3.91071428571,0.0,5.0,5.0,3.50245202559,223.0,137.523809524,101.0,211.0,218.0,2039.72480455,1.0,0.5,0.0,1.0,1.0,0.250746268657
6,3.0,1.7125748503,1.0,3.0,3.0,0.914135692579,1.0,0.538922155689,0.0,1.0,1.0,0.249231267195,3.0,1.19760479042,0.0,2.0,2.0,0.7776519034,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.05089820359,1.0,4.0,4.0,1.79620039201,1.0,0.197604790419,0.0,0.0,1.0,0.159033284782,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.341317365269,0.0,1.0,1.0,0.225494956034,1.0,0.341317365269,0.0,1.0,1.0,0.225494956034,1.0,0.461077844311,0.0,1.0,1.0,0.249231267195,1.0,0.958083832335,0.0,1.0,1.0,0.0402798007588,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.63473053892,1.0,3.0,3.0,0.598910287533,2.0,1.22155688623,0.0,2.0,2.0,0.953768139397,9.0,7.68562874251,3.0,9.0,9.0,5.44141446836,9.0,4.68862275449,1.0,9.0,9.0,15.0138641636,1.0,0.338323353293,0.0,1.0,1.0,0.22453291615,12.0,8.97305389222,2.0,12.0,12.0,15.6419143695,2.0,0.85628742515,0.0,2.0,2.0,0.982287676898,2.0,1.93113772455,0.0,2.0,2.0,0.130378881876,1.0,1.0,1.0,1.0,1.0,0.0,11.0,7.97904191617,2.0,11.0,11.0,14.6512110913,14.0,9.25149700599,1.0,11.0,12.0,12.2188415961,10.0,7.00898203593,1.0,9.0,10.0,12.3272464081,5.0,4.03293413174,0.0,5.0,5.0,2.6565697434,226.0,143.194610778,98.0,218.0,223.0,2510.90195285,1.0,0.497005988024,0.0,1.0,1.0,0.250741759724
7,3.0,1.72321428571,1.0,3.0,3.0,0.911220682303,1.0,0.369047619048,0.0,1.0,1.0,0.23354655295,2.0,1.0505952381,0.0,2.0,2.0,0.519820540156,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.20535714286,1.0,4.0,4.0,2.15770255864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.803571428571,0.0,1.0,1.0,0.158315565032,1.0,0.803571428571,0.0,1.0,1.0,0.158315565032,1.0,0.360119047619,0.0,1.0,1.0,0.231121179815,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.35416666667,0.0,3.0,3.0,0.880161691542,2.0,1.00595238095,0.0,2.0,2.0,1.00294953802,9.0,7.1875,2.0,9.0,9.0,7.81847014925,9.0,4.80952380952,1.0,9.0,9.0,15.2531627576,1.0,0.223214285714,0.0,1.0,1.0,0.173907249467,12.0,9.16964285714,3.0,12.0,12.0,10.3323294243,2.0,0.916666666667,0.0,2.0,2.0,0.996019900498,2.0,1.88095238095,0.0,2.0,2.0,0.212651030561,1.0,1.0,1.0,1.0,1.0,0.0,11.0,8.03273809524,2.0,11.0,11.0,12.533253376,14.0,9.72023809524,1.0,13.0,14.0,17.8677683014,10.0,7.69642857143,2.0,10.0,10.0,8.68965884861,5.0,3.68452380952,0.0,5.0,5.0,4.22256574271,226.0,139.318452381,87.0,219.0,223.0,2821.96097193,1.0,0.5,0.0,1.0,1.0,0.250746268657
8,3.0,0.866071428571,0.0,2.0,2.0,1.11335287846,1.0,0.422619047619,0.0,1.0,1.0,0.2447405828,2.0,0.895833333333,0.0,2.0,2.0,0.726430348259,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.04464285714,1.0,4.0,4.0,1.8756130064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.595238095238,0.0,1.0,1.0,0.241648898365,1.0,0.678571428571,0.0,1.0,1.0,0.218763326226,1.0,0.678571428571,0.0,1.0,1.0,0.218763326226,1.0,0.375,0.0,1.0,1.0,0.235074626866,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.59821428571,0.0,3.0,3.0,1.04704157783,2.0,1.39880952381,0.0,2.0,2.0,0.825550817342,9.0,7.52976190476,2.0,9.0,9.0,6.84687277896,9.0,5.05357142857,1.0,9.0,9.0,15.8239872068,1.0,0.244047619048,0.0,1.0,1.0,0.185039090263,13.0,8.72619047619,2.0,13.0,13.0,14.3188343994,2.0,0.916666666667,0.0,2.0,2.0,0.996019900498,2.0,1.97321428571,0.0,2.0,2.0,0.050026652452,1.0,1.0,1.0,1.0,1.0,0.0,11.0,8.53869047619,2.0,11.0,11.0,12.1298418621,14.0,9.63988095238,1.0,13.0,14.0,23.5087331201,10.0,7.66964285714,1.0,10.0,10.0,10.8487473348,5.0,3.97916666667,0.0,5.0,5.0,3.24434079602,228.0,141.636904762,76.0,219.0,224.0,2447.01403696,1.0,0.5,0.0,1.0,1.0,0.250746268657
9,2.0,0.717261904762,0.0,2.0,2.0,0.919820540156,1.0,0.616071428571,0.0,1.0,1.0,0.23723347548,2.0,0.684523809524,0.0,1.0,2.0,0.527043354655,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.22321428571,1.0,4.0,4.0,1.99480277186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.443452380952,0.0,1.0,1.0,0.247539090263,1.0,0.657738095238,0.0,1.0,1.0,0.22579068941,1.0,0.657738095238,0.0,1.0,1.0,0.22579068941,1.0,0.455357142857,0.0,1.0,1.0,0.248747334755,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.86904761905,0.0,3.0,3.0,0.370859985785,2.0,1.91666666667,0.0,2.0,2.0,0.160199004975,9.0,7.41071428571,2.0,9.0,9.0,6.55319829424,9.0,4.94345238095,1.0,9.0,9.0,15.3490316276,1.0,0.270833333333,0.0,1.0,1.0,0.198072139303,13.0,8.6130952381,3.0,13.0,13.0,14.5483653163,2.0,0.58630952381,0.0,2.0,2.0,0.828349324805,2.0,1.98214285714,0.0,2.0,2.0,0.0355010660981,1.0,1.0,1.0,1.0,1.0,0.0,11.0,8.13095238095,2.0,11.0,11.0,13.3738450604,14.0,9.4880952381,0.0,13.0,14.0,25.5103056148,10.0,7.30952380952,1.0,10.0,10.0,11.5815209666,5.0,3.88095238095,0.0,5.0,5.0,3.70518834399,228.0,152.431547619,103.0,220.0,222.0,2020.14455402,1.0,0.5,0.0,1.0,1.0,0.250746268657
